,company,title,zps,link,reqs
10,"Ресурс, ГАП",Аналитик данных / Data Analyst / BI-аналитик,от 150 000 руб.,https://hh.ru/vacancy/79414249?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
11,ООО Нью Слип Технолоджи,Аналитик,от 35 000 руб.,https://hh.ru/vacancy/78613647?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
12,Swordfish Security,Аналитик (Удалённо),250 000 – 300 000 руб.,https://hh.ru/vacancy/77850578?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Наличие опыта работы системным аналитиком в проектах по разработке ПО от 2-х лет (преимуществом будем навык работы в сфере продуктовой разработки);// Опыт работы в проектной команде:
13,РОССКО,Системный аналитик,до 210 000 руб.,https://hh.ru/vacancy/78399541?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
14,Visotsky Inc,Продуктовый аналитик,1 700 – 2 000 USD,https://hh.ru/vacancy/79108322?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Контракт с американской компанией;// Продукт за который не стыдно, с перспективой выхода на рынки разных стран;// Бонусы за реализованные продукты;// Выплата заработной платы каждые 2 недели;// Приятная команда;// Адекватный менеджмент (никаких Иван Иванович и т.д. …)// 100% удаленная работа с удобным графиком;"
15,Випсервис,Бизнес-аналитик,100 000 – 120 000 руб.,https://hh.ru/vacancy/78475328?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
16,Передовые Технологии,Продуктовый аналитик,180 000 – 250 000 руб.,https://hh.ru/vacancy/79072373?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"опыт работы системным аналитиком от 1 года;// желание и умение глубоко погружаться в предметную область;// понимание принципов построения REST-архитектуры, особенности синхронных и асинхронных контрактов, паттерны проектирования и разработки;// опыт работы с микросервисной архитектурой;// опыт декомпозиции этапов на задачи;// опыт написания и согласования функциональных требований, нефункциональных требований, технических заданий;// опыт работы в командах, использующих гибкие методологии разработки, понимание принципов общения с разработчиками."
17,Профи (profi.ru),Системный аналитик/System analyst,200 000 – 300 000 руб.,https://hh.ru/vacancy/79392122?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
18,Appie.tech,Продуктовый аналитик в команду «Маркетплейс»,до 150 000 руб.,https://hh.ru/vacancy/79531244?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Опыт работы в продуктовой команде;// Вы умеете ставить качественное техническое задание в задаче;// Знаете как декомпозировать крупные задачи;// Аргументированно доносите свою точку зрения;// Принимаете решения в условиях неопределенности;// У вас технический бэкграунд – понимаете, как архитектурно устроены сервисы;// У вас есть опыт работы в беттинге, гэмблинге, МФО или банке;// Вы работали в jira."
19,Mindbox,Бизнес-аналитик / Системный аналитик (Betting&iGaming),150 000 – 170 000 руб.,https://hh.ru/vacancy/78305730?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
20,ООО ProfIT Family,Аналитик (финансы и продукт),от 200 000 руб.,https://hh.ru/vacancy/77835036?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Опыт в проектирование API, архитектуры, уметь мыслить в категориях объектно-ориентированного анализа/проектирования.// Общие знания в области менеджмента и экономики// Умение составлять SQL-запросы; знание основ программирования, проектирования, разработки ПО; знание основ теории алгоритмов, теории баз данных, теории систем и системного анализа, а также безопасности информации// Использовал разный стек, как по сбору данных, так и в реализации. БД (ClickHouse, HDFS+Hive, Aerospike)// Работа с большими массивами данных (обработка, хранение) - SQL, Postgress, Infinispan, Cassandra// Опыт работы с ML алгоритмами крайне желателен (деревья решений, доверительные интервалы, рекомендательные системы, регрессия)"
21,Ameli Soul,Дата аналитик / Системный аналитик в adtech,от 70 000 руб.,https://hh.ru/vacancy/79105527?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
22,ООО Автомакон,"Аналитик данных (удаленно, онлайн-школа)",150 000 – 300 000 руб.,https://hh.ru/vacancy/78998577?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Высшее техническое или экономическое образование;// Обязательное знание SQL, умение формировать запросы в SQL;// Завершенные проекты по разработке программных продуктов с нуля в качестве аналитика;"
