,company,title,zps,link,reqs
50,Frank RG,Аналитик - исследования рынка,от 80 000 руб.,https://hh.ru/vacancy/78896560?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Собирать и структурировать данные (качественные и количественные);// Создавать расчетные Excel-модели по заданным вводным, оценивать рынок и рассчитывать ключевые показатели;// Участвовать во встречах с экспертами банковского рынка, помогать в написании обобщающих выводов по итогам интервью;// Участвовать в подготовке отчетов в формате PowerPoint по результатам проведенной исследовательской работы;// Вести коммуникации с клиентами."
51,ИП Панфилов Максим Юрьевич,"Аналитик продаж, отдела продаж, товарный аналитик",60 000 – 100 000 руб.,https://hh.ru/vacancy/78878427?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Внимательность// Навык работы с большим объемом данных// Умение находить решения// Аналитический склад ума// Продвинутый уровень Excel.// Большим плюсом будет умение составлять отчеты в Power BI
52,ООО БСТ Менеджмент-Консалтинг,Проджект-менеджер по DS проектам,от 60 000 руб.,https://hh.ru/vacancy/79439880?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
53,Visotsky Inc,Продуктовый маркетолог,1 500 – 2 000 USD,https://hh.ru/vacancy/78444283?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
54,PUSK,Web аналитик,от 180 000 руб.,https://hh.ru/vacancy/78336355?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
55,ООО ТУ СОФТ,Продуктовый аналитик,до 130 000 руб.,https://hh.ru/vacancy/79057408?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Опыт в продуктовой аналитике от 3-х лет;// Уверенное знание SQL;// Отличное знание когортного анализа;// Хорошее понимание бизнес-показателей: прибыль, маржа, расходы, отток, конверсии и другие;// Проведение А/В тестирований - участие в разработке условий проведения и интерпретации результатов;// Знания систем web-аналитики (GA, Amplitude, Яндекс Метрика)."
56,Saigge,Маркетолог-аналитик / Web-аналитик. Удаленно,42 000 – 90 000 руб.,https://hh.ru/vacancy/78799121?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Мало заявок// Мало продаж и клиентов// Запуск нового бизнеса с нуля// Нет системы маркетинга и продаж
57,ООО НОВЭЛХИМ,Аналитик Маркетплейса,80 000 – 80 000 руб.,https://hh.ru/vacancy/78562063?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Анализ товара для своевременного подсорта;// Анализ продаж, заказов, %выкупа, для корректировки цен;// Учёт прибыльности каждой карточки;// Анализ текущих продаж компании во всех разрезах;// Управление ценовой политикой ассортимента (определение первой цены, утверждение акций, подготовка сегментов скидок, проведение дооценок);// Работа с большим количеством ежедневных заказов и SKU 50+;// Маркетинг/внутренняя реклама на Озон. Оценка эффективности."
58,ООО Автомакон,Маркетолог-аналитик,70 000 – 80 000 руб.,https://hh.ru/vacancy/78954568?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"работу в аккредитованной ИТ-компании;// возможность удаленной работы, а также в офисе в Москве (м. Румянцево);// официальное оформление с первого дня работы;// поддержка куратора во время адаптации;// внутреннее обучение soft & hard skills, создание индивидуального плана развития;// система бенефитов: компенсация медицинских расходов, возможность беспроцентного займа, компенсация обучения, спортивных занятий и затрат на обучение детей программированию;// богатый опыт сплоченной и профессиональной команды."
59,ООО Альянс Реал Эстейт,Системный аналитик (удаленно),от 200 000 руб.,https://hh.ru/vacancy/78679020?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
60,ГК КОРТРОС,Продуктовый аналитик,до 190 000 руб.,https://hh.ru/vacancy/77422683?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Проводить качественные и количественные исследования (R&D);// Находить клиентские боли и предлагать пути для их устранения;// Оцифровывать продуктовые метрики;// Настраивать и поддерживать системы дашбордов;// Участвовать в аналитических проектах в рамках цифровой трансформации.
61,ООО АЙТИ.СПЕЙС,Фуллстек аналитик,200 000 – 320 000 руб.,https://hh.ru/vacancy/78764057?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
62,AGIMA,Продуктовый/Веб-аналитик (Middle),от 120 000 руб.,https://hh.ru/vacancy/78847606?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"опыт работы с GA, GA4, Яндекс.Метрикой, Firebase, AppMetrica;// опыт работы с Google Tag Manager (с использованием JavaScript);// опыт работы с BigQuery/другими БД, знание SQL;// опыт работы с GDS/Metabase/PowerBI;// знание и понимание основных показателей эффективности;// умение работать в команде (Scrum, Jira, Confluence)."
63,Группа ПРОДО,Аналитик,до 122 000 руб.,https://hh.ru/vacancy/78950031?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
64,РБК,Middle Product Analyst / Ведущий продуктовый аналитик в Loveplanet,130 000 – 150 000 руб.,https://hh.ru/vacancy/78961442?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
65,Teamline Consult,Аналитик данных,от 150 000 руб.,https://hh.ru/vacancy/78691511?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
66,Boxberry: Офис,Продуктовый маркетолог,90 000 – 100 000 руб.,https://hh.ru/vacancy/78989453?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
67,Arris (ИП Лебедев Иван Сергеевич),Товарный аналитик/Категорийный менеджер (e-commerce),от 80 000 руб.,https://hh.ru/vacancy/78877677?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
68,Сбер для экспертов,Старший кредитный аналитик (малый бизнес),от 146 400 руб.,https://hh.ru/vacancy/75333122?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
69,YouGile,Тестировщик / QA Engineer,от 120 000 руб.,https://hh.ru/vacancy/79586767?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Наличие ОС Windows// Знание методов и методик тестирования// Опыт тестирования web-приложений (frontend & backend)// Способность отыскивать сложные баги, которые никто больше не может обнаружить// Умение посмотреть глазами пользователя и выявить недостатки фичей// Дотошность и внимание к мелочам"
70,ООО МедЗнания,Интернет-маркетолог,от 80 000 руб.,https://hh.ru/vacancy/75534937?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"опыт работы на аналогичной или смежной должности от 1 года.// навык создания продающих материалов, новостей, рассылок и т.д.// уверенное знание маркетинговой аналитики.// знание ключевых маркетинговых метрик.// знание CRM систем.// подтвержденный кейсами опыт влияния на результаты проектов."
71,NodaSoft,Специалист технической поддержки (удаленно),от 95 000 руб.,https://hh.ru/vacancy/78852096?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,решение технических вопросов// качественные консультации клиентов по продукту// аналитика поступающих запросов на расширение функционала
72,АО Рут Код,Программист-разработчик 1С,от 150 000 руб.,https://hh.ru/vacancy/77143829?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
73,БейсикДекор,SMM-менеджер,от 80 000 руб.,https://hh.ru/vacancy/79312398?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Искренняя заинтересованность в развитии социальных сетей и себя, как специалиста в этой области;// Хорошие навыки работы в фото/видео-редакторах (важно);// Отличный уровень владения русским языком, умение грамотно излагать свои мысли в устной и письменной форме;// Ответственность, идейность, креативность, инициативность! Мы поощряем любые попытки в поиске новых идей и методов продвижения, даже если окажутся неудачными;// Хорошее чувство вкуса - умение находить интересные и красивые вещи в обыденных процессах;// Понимание алгоритмов работы социальных сетей."
74,ИП Найдович Злата Павловна,Менеджер аналитик-маркетолог по работе с маркетплейсом Wildberries,30 000 – 300 000 руб.,https://hh.ru/vacancy/79008195?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Управление товарным запасом: рассчитывать план и формировать заказы к обеспечению (взаимодействие с отделом производства), не допуская sold out.// Расчет акций и загрузка цен на портал;// Управление ценообразованием (unit экономика, расчет выгодности участия в акциях, скидки и т.д.) контроль остатков;// Сортиментный и конкурентный анализ (мониторинг цен, ежедневный анализ продаж (наших и конкурентов) принятие решения о снижении/повышении цен, А/Б тест контента, SEO анализ по ключам наших и конкурентов.// Запуск рекламных компаний в поиске, карточки товара и контроль пополнения бюджета;// Создание новых карточек (вывод новых продуктов на рынок от создания до продаж от А до Я);// Постоянный а/б тест контента, направленный на повышение CTR, постановка ТЗ для дизайнеров; контроль выполнения задачи согласно ТЗ.// Работа с отзывами и вопросами покупателей (доработка продукта, карточек товара);// Подготовка аналитических отчетов (выводов) вытекающих из анализа данных."
75,КИСЕЛЕВ ГРУПП,Бизнес-аналитик (Специалист по внедрению Битрикс24/amoCRM),80 000 – 140 000 руб.,https://hh.ru/vacancy/79132615?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"проводим бизнес-анализ клиенту, выявляем слабые места в компании, даем рекомендации;// настраиваем инструменты нашего продукта для следующих целей - для автоматизации различных процессов, для увеличения количества и качества продаж, для прозрачной работы отделов, для удобного контроля руководителем всего, что происходит внутри компании, для сплочения коллектива за счет единого пространства общения и новостей;// обучаем и адаптируем сотрудников и руководителей работать с новыми инструментами регулярно, легко и понятно;// интегрируем (""стыкуем"" / ""дружим"") другие системы с Битрикс24 под индивидуальные запросы клиентов (например 1С, Авито, Государственные реестры)."
76,BINET.PRO,Маркетолог (онлайн-школа),60 000 – 80 000 руб.,https://hh.ru/vacancy/78961809?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Удаленную работу: возможность работать в любом удобном месте;// Возможность управлять своим временем максимально эффективно без жесткого контроля со стороны руководства - мы ждем коллег с высоким уровнем самоорганизации и ответственности;// Выплаты заработной платы 2 раза в месяц;// Полная занятость, график работы – 5/2 с 9 до 18 МСК;// Отсутствие бюрократии, только эффективно выстроенные бизнес-процессы;// Возможность работать с сильной командой и руководством в Школе, которая находится на этапе активного масштабирования."
77,Like Центр,Продуктовый маркетолог / Продюсер мероприятий (продукта),110 000 – 145 000 руб.,https://hh.ru/vacancy/79653850?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
78,Тесуджи,Бизнес-аналитик,от 150 000 руб.,https://hh.ru/vacancy/79235256?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
79,ООО Диджитал Лайн,Web product analyst,от 120 000 руб.,https://hh.ru/vacancy/73996005?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Готовность выполнить тестовое задание;// Технический и аналитический склад ума;// Опыт работы в аналогичной должности от 2 лет;// Полная самостоятельность в работе;// Уверенные знания веб-аналитики и опыт работы с одной или несколькими системами (Google Analytics, Amplitude и др. аналоги);// Опыт в продуктовых практиках cjm, design research, custDev, job stories и пр. (желательно);// Базовое понимание HTML/CSS/JS/Консоль разработчика;// Понимание трендов веб-дизайна и UX/UI;// Английский язык не ниже B1;// Работа с системами аналитики для мобильных приложений;// Базовые навыки SQL, Python(Pandas, Numpy) - как преимущество."
80,ИП Латышев Григорий Олегович,Аналитик по продажам продукции с опытом Маркетплейсов WILDBERRIES (WB) / OZON,40 000 – 75 000 руб.,https://hh.ru/vacancy/78827659?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
81,Frank RG,Младший аналитик,50 000 – 80 000 руб.,https://hh.ru/vacancy/78372740?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Собирать и структурировать данные (качественные и количественные);// Создавать расчетные Excel-модели по заданным вводным, оценивать рынок и рассчитывать ключевые показатели;// Участвовать во встречах с экспертами банковского рынка, помогать в написании обобщающих выводов по итогам интервью;// Участвовать в подготовке отчетов в формате PowerPoint по результатам проведенной исследовательской работы;// Вести коммуникации с клиентами."
82,AgileConsult,Аналитик (бизнес + системный),от 150 000 руб.,https://hh.ru/vacancy/78852762?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Анализ запросов потенциальных клиентов на возможность и способы их реализации.// Оценка стоимости проектов;// Подготовка техзаданий по проектам;
83,ADVANTA,"Ассистент/аналитик в отдел продаж (B2B, IT)",от 60 000 руб.,https://hh.ru/vacancy/79616466?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
84,ООО Рукс Солюшенс,Системный аналитик,200 000 – 350 000 руб.,https://hh.ru/vacancy/79118269?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
85,ООО МАКСБИТСОЛЮШЕН,Product manager,от 300 000 руб.,https://hh.ru/vacancy/78591068?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
86,Fundraise Up,Business/System Analyst,2 500 – 4 000 USD,https://hh.ru/vacancy/79105274?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Мы строим сильную команду людей с горящими глазами. У каждого свой опыт, которым он охотно делится.// У нас нет ветвистой иерархии, все люди доступны на расстоянии zoom-звонка. В компании открыта почти вся финансовая статистика, мы регулярно рассказываем как устроен продукт, продажи, саппорт, откуда появляются клиенты и деньги, что интересного случилось и т.д.// Мы верим в долгие отношения и выдаем сотрудникам сток-опции. Компания хорошо растет — только за прошлый год мы вырастили метрики в 3 раза. Если у нас все получится, эти опции превратятся в сумму, сопоставимую с зарплатой за 10 лет."
87,Альянс ТМК,Маркетолог-аналитик по работе с маркетплейсами,172 413 – 172 413 руб.,https://hh.ru/vacancy/79440997?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
88,Quantum Art,Системный аналитик,120 000 – 180 000 руб.,https://hh.ru/vacancy/78844575?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Аналитическое мышление;// Высокий уровень самоорганизации;// Опыт разработки проектной документации (техническое задание, функциональная спецификация, эксплуатационная документация);// Опыт в проектах по разработке приложений;// Опыт работы с Jira и Confluence;// Уверенные навыки коммуникации;// Понимание принципов работы мобильных и веб приложений."
89,Frank RG,Младший аналитик - исследование рынка,50 000 – 80 000 руб.,https://hh.ru/vacancy/78896323?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Собирать и структурировать данные (качественные и количественные);// Создавать расчетные Excel-модели по заданным вводным, оценивать рынок и рассчитывать ключевые показатели;// Участвовать во встречах с экспертами банковского рынка, помогать в написании обобщающих выводов по итогам интервью;// Участвовать в подготовке отчетов в формате PowerPoint по результатам проведенной исследовательской работы;// Вести коммуникации с клиентами."
90,Mindbox,Business analyst / System analyst,150 000 – 220 000 руб.,https://hh.ru/vacancy/54012112?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
91,КИБЕР-РОМ,Системный аналитик,200 000 – 300 000 руб.,https://hh.ru/vacancy/73723954?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Опыт работы с микросервисной архитектурой;// Опыт написания и согласования функциональных требований, нефункциональных требований, технических заданий;// Уверенное знание UML;// Знание принципов построения ИТ систем;// Опыт работы с JIRA и Confluence;// Опыт работы в командах, использующих гибкие методологии разработки;// Системность мышления, оценка влияния на смежные бизнес-процессы/системы;// Критический взгляд + коммуникабельность."
92,ООО Аналитика Бизнеса,Руководитель отдела продаж/ начальник отдела продаж,от 200 000 руб.,https://hh.ru/vacancy/78613218?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Руководство менеджерами по продажам (работа строится на холодных звонках);// Выполнение плановых показателей отдела;// Ведение и анализ отчетности работы отдела;// Контроль за соблюдением дисциплины и регламентов компании;// Контроль качества обслуживания клиентов (мониторинг звонков и встреч);// Предоставление обратной связи и проведение брифингов с менеджерами;// Обучение и адаптация новых сотрудников;// Разработка и проведение мотивационных мероприятий;// Обеспечение своевременного решения проблемных/конфликтных ситуаций с клиентами;// Участие в оптимизации бизнес-процессов, написание скриптов и правил работы."
93,Scalaxi,Системный аналитик,от 180 000 руб.,https://hh.ru/vacancy/79548723?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
94,KR Digital,Ведущий аналитик проектных процессов,250 000 – 350 000 руб.,https://hh.ru/vacancy/79660654?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
95,Admire,Product manager,до 160 000 руб.,https://hh.ru/vacancy/79416914?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
96,ООО Феникс,Product Owner,200 000 – 250 000 руб.,https://hh.ru/vacancy/79103948?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"опыт самостоятельной разработки и согласования продуктовых документов;// опыт описания бизнес/функциональных процессов «с нуля»;// знание основ методологии;// понимание принципов продуктовой аналитики;// опыт работы с кредитными конвейерами не менее 1-го года, как плюс."
97,АО МЦ-Сервис Инжиниринг,Системный аналитик (удаленно),100 000 – 140 000 руб.,https://hh.ru/vacancy/71237602?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
98,Платформа ОФД,Бизнес/ Системный аналитик,120 000 – 150 000 руб.,https://hh.ru/vacancy/79279451?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
99,ООО Финбро,Аналитик рекламной монетизации / Media buyer / UA менеджер,70 000 – 300 000 руб.,https://hh.ru/vacancy/79583301?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
